V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
97JHQE,-3.621,-62.315,5S8F2E,82.947,-32.345,J9O15X,37.791,89.050,51.408,-11.977,DDS5ZV,-0.173,-50.897
7WB1BE,0.466,40.417,JHPH44,-68.613,58.443,EZ3JZR,-13.965,53.963,-31.387,6.617,Q7HQCE,88.086,-106.837
LASVCY,-20.438,-17.509,U4V6ON,-44.317,-69.026,M7COAR,-123.268,-20.608,8.812,28.836,QP86G7,-113.955,140.374
PK9G9I,24.307,22.830,WWFJPR,46.502,11.338,JKRKO2,82.308,-2.153,27.862,4.584,FCFDJK,-113.331,80.821
G7E8C7,-12.168,-53.119,W4BGM6,34.504,41.601,MZ84LF,-67.730,-27.829,-76.284,-1.451,318W8L,26.758,-27.687
71ZNAF,9.045,-45.619,DDFLUW,-7.568,45.626,KAGNRH,12.023,-22.993,105.324,11.532,3PPNB8,55.271,0.853
8E1LC1,-7.903,26.976,NZ8X79,57.363,-5.101,F2ABXN,5.086,63.296,-55.431,-18.200,QBBN09,-48.201,43.164
IIIU33,-3.389,41.657,GHXO07,36.753,-52.829,OO57PF,76.631,-79.081,112.574,-9.025,1OQV84,87.387,-2.836
GBTWNJ,-17.700,19.787,W25TED,-0.662,5.483,FOZXAJ,10.011,102.668,46.124,9.221,PKX36M,-56.508,-60.860
UVWW94,14.387,-73.387,RTGQFS,-0.580,-10.198,WVH4R7,35.231,12.187,8.760,24.229,JBTN49,-58.931,136.739
ZI5K5V,11.354,33.526,AOJX3G,-41.051,9.615,JFR87A,4.661,-11.454,-24.443,31.459,HA1BKH,92.086,-132.651
TE9QJN,9.634,-3.191,VLO77F,5.526,18.552,DOEX9B,17.213,-18.690,30.460,-26.050,TZ83YZ,2.312,28.369
PJG30A,3.961,2.767,WK54DE,-0.310,52.541,SZ4RQL,39.020,60.714,61.621,26.469,S2O5WW,-41.987,30.280
WJ7JNG,1.731,-39.973,GEWTTI,-75.185,-37.560,2CEOTE,39.717,27.629,113.448,12.064,TKSQ2T,73.013,8.793
